fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
100,small,5,44.1993 ± 0.8335,58.9181 ± 1.1205,65.4164 ± 0.6161,0.4167 ± 0.0084,48.4199 ± 0.7365,0.4681 ± 0.0056,41.4021 ± 0.6512,56.8612 ± 0.8340,63.7438 ± 0.4650,0.3757 ± 0.0072,22.1423 ± 0.6985,38.3203 ± 0.4690,47.0605 ± 0.7191,0.1755 ± 0.0087
100,small,10,51.1459 ± 0.6966,67.5160 ± 1.0272,73.9929 ± 1.0048,0.4807 ± 0.0066,63.0178 ± 0.4347,0.6088 ± 0.0051,50.3915 ± 1.3495,66.3772 ± 0.4946,72.3274 ± 0.8011,0.4535 ± 0.0122,29.2242 ± 0.8460,46.2776 ± 0.6414,55.5872 ± 0.8285,0.2340 ± 0.0059
