tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
official,224,cls,proto,1,33.65022877478394,0.7010877075882048,0.32652351970196575,0.006491284621547247
official,224,cls,knn,1,33.65022877478394,0.7010877075882048,0.32652351970196575,0.006491284621547247
official,224,cls,lp,1,33.98068124046772,0.5648032772471622,0.3236742852454849,0.005941525407991253
official,224,cls,labelprop,1,25.317742755465176,0.8470809711719192,0.22366588807334864,0.009431952301314791
official,224,cls,ptmap,1,36.16675139806813,0.8942796329447738,0.3527779030389401,0.007789247834834559
official,224,cls,proto,3,51.47686832740213,0.7864151385037824,0.5006215220427559,0.007031534543123741
official,224,cls,knn,3,51.2870699881376,0.8358045197296082,0.5026331369560741,0.011002559750937637
official,224,cls,lp,3,46.5717674970344,0.6112300369152197,0.4358743056723065,0.007210478839528925
official,224,cls,labelprop,3,29.412811387900355,1.0280410692065212,0.24844120708185055,0.011563187482624785
official,224,cls,ptmap,3,53.27995255041518,1.006251837369419,0.5173605257712163,0.009009412150394025
official,224,cls,proto,5,58.22775800711744,0.809716077485323,0.5681154987350302,0.007850093436959284
official,224,cls,knn,5,60.697508896797146,0.8845403157962152,0.5957110215128896,0.007965811215890992
official,224,cls,lp,5,52.66903914590748,0.5020190740094614,0.4916258182766507,0.0037237748728783738
official,224,cls,labelprop,5,31.352313167259787,0.12068202816948755,0.26356889947684986,0.004378101486075463
official,224,cls,ptmap,5,59.20996441281138,0.8061892520793812,0.5746195880111636,0.008940257517193028
official,224,cls,proto,10,63.53024911032028,0.878362179016367,0.6206589181060607,0.009508477691546613
official,224,cls,knn,10,74.47686832740214,1.0148278219295388,0.7314486244902273,0.011106355717658636
official,224,cls,lp,10,59.501779359430614,2.0093372545897625,0.5536025896456676,0.021218140216002573
official,224,cls,labelprop,10,33.66548042704626,0.7027906639904454,0.28274223725749104,0.009122237279640713
official,224,cls,ptmap,10,64.2846975088968,1.3804893843625288,0.6209464677257721,0.013716826719148074
official,224_fliptta,cls,proto,1,34.18912048805287,0.4126253960535831,0.33255286778712734,0.005225486150898093
official,224_fliptta,cls,knn,1,34.18912048805287,0.4126253960535831,0.33255286778712734,0.005225486150898093
official,224_fliptta,cls,lp,1,34.22470767666498,0.5098479303644176,0.3259683479731207,0.00515846877896412
official,224_fliptta,cls,labelprop,1,24.65683782409761,0.12057489807454339,0.21479745757585023,0.005218753956498459
official,224_fliptta,cls,ptmap,1,36.487036095577025,0.894676938078066,0.35637120993820853,0.007672748458300491
official,224_fliptta,cls,proto,3,51.67259786476868,0.564087810823748,0.5025760430781168,0.004764440862848591
official,224_fliptta,cls,knn,3,51.94543297746145,0.5173249330592133,0.5085267119005381,0.007209329539618351
official,224_fliptta,cls,lp,3,46.73190984578885,0.38575593218289633,0.4371205093133025,0.00373337894688927
official,224_fliptta,cls,labelprop,3,29.16370106761566,1.0077802004481424,0.24530618136271917,0.007811411695986547
official,224_fliptta,cls,ptmap,3,53.606168446026096,0.7637785064531938,0.5207222651975669,0.007396523222836363
official,224_fliptta,cls,proto,5,58.320284697508896,0.9393265230692,0.5690499956501631,0.010316472725501992
official,224_fliptta,cls,knn,5,61.47330960854093,0.6884994436432851,0.6034885515056909,0.006046751231017747
official,224_fliptta,cls,lp,5,52.597864768683266,0.5863792545652705,0.4901068433328728,0.003981507926158592
official,224_fliptta,cls,labelprop,5,31.03202846975089,0.22925442574244026,0.2602219886776353,0.006751346650932762
official,224_fliptta,cls,ptmap,5,59.36654804270462,0.7513027822520533,0.5754320426611936,0.008180294286096129
official,224_fliptta,cls,proto,10,63.686832740213525,0.8382275029430469,0.6220852112458274,0.009534994853070375
official,224_fliptta,cls,knn,10,74.80427046263347,0.5107722453525722,0.7339119690678696,0.005905581929782389
official,224_fliptta,cls,lp,10,59.27402135231316,1.4882084029819387,0.5503060957376402,0.01661432342504901
official,224_fliptta,cls,labelprop,10,33.209964412811395,0.8217481792097707,0.2783975703556254,0.008263373051785074
official,224_fliptta,cls,ptmap,10,64.31316725978647,1.387991602074002,0.6209278632985431,0.013461579735712575
official,336,cls,proto,1,33.65022877478393,0.8719639320766952,0.32643680859619406,0.008649225446402056
official,336,cls,knn,1,33.65022877478393,0.8719639320766952,0.32643680859619406,0.008649225446402056
official,336,cls,lp,1,34.15353329944078,0.7324587363344149,0.3271076729393674,0.006157543334513671
official,336,cls,labelprop,1,24.93645144890697,1.0202660010365783,0.22125469276415283,0.011644985269653744
official,336,cls,ptmap,1,36.659888154550075,0.7374699149767107,0.35865186072137123,0.007204130672154704
official,336,cls,proto,3,51.6785290628707,1.1766740662753903,0.5032111772085448,0.01074076982868322
official,336,cls,knn,3,51.95136417556347,0.44355290310188183,0.5094137014386069,0.005217526807590116
official,336,cls,lp,3,46.886120996441285,0.17916734836290582,0.4387250875642775,0.0005867977207652184
official,336,cls,labelprop,3,29.780545670225386,1.5251081491513474,0.24833189197396358,0.01423446664548363
official,336,cls,ptmap,3,53.398576512455506,0.7075921821538618,0.5194589115372547,0.006975055845358955
official,336,cls,proto,5,58.14946619217083,1.1309785467665971,0.56883058179788,0.012828598938670976
official,336,cls,knn,5,61.701067615658374,0.7679744985908954,0.606694491503737,0.009094364095030604
official,336,cls,lp,5,52.67615658362989,0.571836403067746,0.49270810392161407,0.004281286518079951
official,336,cls,labelprop,5,31.729537366548044,0.952780101391119,0.26610757020986764,0.011788674068920348
official,336,cls,ptmap,5,59.18149466192172,0.4564325743195926,0.5753374357399975,0.0058505458892195205
official,336,cls,proto,10,63.644128113879006,0.7212883165926396,0.6225361401865593,0.008160300721175743
official,336,cls,knn,10,74.93238434163702,0.45406798313840807,0.7347094472759117,0.0033893060122873447
official,336,cls,lp,10,60.09964412811388,1.554960613274006,0.5621612594311773,0.015286287419257775
official,336,cls,labelprop,10,33.42348754448399,1.0683271650453425,0.2771990025724502,0.011142802468445671
official,336,cls,ptmap,10,64.5693950177936,0.589932121995791,0.6238899714344004,0.006244727659886557
official,448,cls,proto,1,33.4316217590239,0.6151814854517378,0.3235447708341078,0.003589839071222499
official,448,cls,knn,1,33.4316217590239,0.6151814854517378,0.3235447708341078,0.003589839071222499
official,448,cls,lp,1,33.82816471784443,1.041017598310544,0.32249375364728533,0.011144883423842827
official,448,cls,labelprop,1,23.894255210981193,0.35813428580593193,0.21111448990130807,0.007225434201694201
official,448,cls,ptmap,1,36.40061006609049,0.776853420942356,0.35609407585082764,0.008793399715013408
official,448,cls,proto,3,51.115065243179124,1.0278699571765069,0.4976083264901696,0.009563146606830003
official,448,cls,knn,3,51.358244365361806,0.579013753825189,0.505071713715208,0.004596150023852329
official,448,cls,lp,3,46.393831553973904,0.6982080847772065,0.4356441663448264,0.0058790209511653466
official,448,cls,labelprop,3,29.228944246737843,1.332640036652719,0.2482526546342474,0.011618475553702757
official,448,cls,ptmap,3,53.3570581257414,1.0308176587062678,0.5194166444871288,0.009819114541414051
official,448,cls,proto,5,58.142348754448406,0.9453741845857088,0.5702367226586247,0.010251562736302575
official,448,cls,knn,5,61.117437722419936,0.861695107610284,0.6005374860271228,0.007840438155132034
official,448,cls,lp,5,51.98576512455516,0.32166566657584605,0.4852628838761851,0.00347893335899805
official,448,cls,labelprop,5,30.612099644128115,0.3933954051369528,0.2556296790475803,0.0034369983819511167
official,448,cls,ptmap,5,59.188612099644125,0.7255773086448327,0.5755601820927037,0.007693054992352921
official,448,cls,proto,10,63.7153024911032,0.387884031129928,0.6240314858260496,0.004850336884845481
official,448,cls,knn,10,74.86120996441282,0.668433132063996,0.7357822018885447,0.00700731381347662
