model_name,k_shot,seed,is_bn_backbone,bn_drift_affected,resume_anomaly,resume_anomaly_desc,ft_acc,ft_macro_f1,elapsed_seconds
convnext_tiny,kshot_1,seed_123,False,False,False,,19.115404168784952,0.17415393286206934,42.5063099861145
convnext_tiny,kshot_1,seed_42,False,False,False,,17.310625317742755,0.15809709505573916,46.75501823425293
convnext_tiny,kshot_1,seed_456,False,False,False,,18.988307066598882,0.16972572718154125,43.11038112640381
convnext_tiny,kshot_1,seed_789,False,False,False,,17.28520589730554,0.1611629954550559,45.58532500267029
convnext_tiny,kshot_1,seed_999,False,False,False,,17.996949669547536,0.1733353979842855,44.46962857246399
convnext_tiny,kshot_10,seed_123,False,False,False,,61.63701067615658,0.5907038135008232,172.25709295272827
convnext_tiny,kshot_10,seed_42,False,False,False,,63.13167259786477,0.6082379852371479,172.54997539520264
convnext_tiny,kshot_10,seed_456,False,False,False,,63.77224199288256,0.6103368151691808,171.24112153053284
convnext_tiny,kshot_10,seed_789,False,False,False,,62.63345195729537,0.6044147714913887,171.46417379379272
convnext_tiny,kshot_10,seed_999,False,False,False,,63.20284697508897,0.5999207097906457,171.50759840011597
convnext_tiny,kshot_3,seed_123,False,False,False,,35.64650059311981,0.32285541686666347,73.40008902549744
convnext_tiny,kshot_3,seed_42,False,False,False,,38.13760379596678,0.35179255958025446,74.88201594352722
convnext_tiny,kshot_3,seed_456,False,False,False,,37.66310794780546,0.34394033025786935,70.96570301055908
convnext_tiny,kshot_3,seed_789,False,False,False,,35.705812574139976,0.33155322502007906,71.79954862594604
convnext_tiny,kshot_3,seed_999,False,False,False,,36.59549228944247,0.34215417403238696,71.52985334396362
convnext_tiny,kshot_5,seed_123,False,False,False,,47.93594306049822,0.4500141505660095,100.69291973114014
convnext_tiny,kshot_5,seed_42,False,False,False,,48.86120996441281,0.4572979869431442,103.92995595932007
convnext_tiny,kshot_5,seed_456,False,False,False,,49.7153024911032,0.46998301507331036,101.67461633682251
convnext_tiny,kshot_5,seed_789,False,False,False,,49.28825622775801,0.46146339712273177,100.59939503669739
convnext_tiny,kshot_5,seed_999,False,False,False,,50.0711743772242,0.46921456247365384,100.98323798179626
densenet121,kshot_1,seed_123,True,True,False,,7.473309608540925,0.061622681583496014,32.45925569534302
densenet121,kshot_1,seed_42,True,True,False,,6.93950177935943,0.05593707818757614,32.86163091659546
densenet121,kshot_1,seed_456,True,True,False,,6.227758007117438,0.053256027878782156,33.052793979644775
densenet121,kshot_1,seed_789,True,True,False,,7.244534824605998,0.06622696706941344,32.698336362838745
densenet121,kshot_1,seed_999,True,True,False,,6.253177427554651,0.0525947141846803,32.6922550201416
densenet121,kshot_10,seed_123,True,True,False,,43.77224199288256,0.3960936766586882,125.0585424900055
densenet121,kshot_10,seed_42,True,True,False,,48.54092526690392,0.43921924121314054,125.01136755943298
densenet121,kshot_10,seed_456,True,True,False,,47.11743772241993,0.43168799688711834,124.67890906333923
densenet121,kshot_10,seed_789,True,True,False,,47.046263345195726,0.4254763604344342,144.2469253540039
densenet121,kshot_10,seed_999,True,True,False,,43.629893238434164,0.3851087082574583,124.86041831970215
densenet121,kshot_3,seed_123,True,True,False,,21.441281138790035,0.18195271773698707,54.542359352111816
densenet121,kshot_3,seed_42,True,True,False,,22.182680901542113,0.1908965427221249,54.86892223358154
densenet121,kshot_3,seed_456,True,True,False,,18.772241992882563,0.16315441459959798,54.88615655899048
densenet121,kshot_3,seed_789,True,True,False,,21.204033214709373,0.17908898050354652,55.046738147735596
densenet121,kshot_3,seed_999,True,True,False,,20.284697508896798,0.16843367343349488,54.65733480453491
densenet121,kshot_5,seed_123,True,True,False,,29.39501779359431,0.2557993254742895,75.11689376831055
densenet121,kshot_5,seed_42,True,True,False,,31.032028469750887,0.2729500707057133,75.49030375480652
densenet121,kshot_5,seed_456,True,True,False,,30.177935943060497,0.2682841590561966,75.19903779029846
densenet121,kshot_5,seed_789,True,True,False,,31.85053380782918,0.2683585662199196,75.27597689628601
