tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitl16-official,224,cls,proto,1,42,29.76614133197763,0.289339347237749
vitl16-official,224,cls,proto,1,123,29.94407727503813,0.29602365117995943
vitl16-official,224,cls,proto,1,456,30.299949161159123,0.29198123602958254
vitl16-official,224,cls,proto,1,789,30.19827147941027,0.2952883718909367
vitl16-official,224,cls,proto,1,999,29.994916115912556,0.2913056816885031
vitl16-official,224,cls,knn,1,42,29.76614133197763,0.289339347237749
vitl16-official,224,cls,knn,1,123,29.94407727503813,0.29602365117995943
vitl16-official,224,cls,knn,1,456,30.299949161159123,0.29198123602958254
vitl16-official,224,cls,knn,1,789,30.19827147941027,0.2952883718909367
vitl16-official,224,cls,knn,1,999,29.994916115912556,0.2913056816885031
vitl16-official,224,cls,lp,1,42,29.537366548042705,0.280614012270218
vitl16-official,224,cls,lp,1,123,31.5200813421454,0.30272302186626204
vitl16-official,224,cls,lp,1,456,31.392984239959326,0.2977962021347366
vitl16-official,224,cls,lp,1,789,31.799694966954757,0.29791819252022367
vitl16-official,224,cls,lp,1,999,30.45246568378241,0.2915006197387828
vitl16-official,224,cls,labelprop,1,42,20.106761565836297,0.1746706173241924
vitl16-official,224,cls,labelprop,1,123,20.259278088459585,0.18209251904759785
vitl16-official,224,cls,labelprop,1,456,21.5556685307575,0.1835875985829317
vitl16-official,224,cls,labelprop,1,789,19.954245043213014,0.1660324680871867
vitl16-official,224,cls,labelprop,1,999,20.462633451957295,0.17980697949049065
vitl16-official,224,cls,ptmap,1,42,32.460599898322315,0.31809856154799204
vitl16-official,224,cls,ptmap,1,123,32.89273004575496,0.3245263322518793
vitl16-official,224,cls,ptmap,1,456,33.47737671581088,0.3257466301241479
vitl16-official,224,cls,ptmap,1,789,34.08744280630401,0.3289817977527253
vitl16-official,224,cls,ptmap,1,999,32.816471784443316,0.32141724842330066
vitl16-official,224,cls,proto,3,42,48.517200474495844,0.47063707833449103
vitl16-official,224,cls,proto,3,123,48.99169632265718,0.47659589695294247
vitl16-official,224,cls,proto,3,456,48.250296559905095,0.47106989977780195
vitl16-official,224,cls,proto,3,789,48.45788849347568,0.47289555483352597
vitl16-official,224,cls,proto,3,999,47.86476868327402,0.4589594496163235
vitl16-official,224,cls,knn,3,42,48.131672597864764,0.4702160277229972
vitl16-official,224,cls,knn,3,123,49.644128113879006,0.4874457020256989
vitl16-official,224,cls,knn,3,456,47.65717674970344,0.46544046024131625
vitl16-official,224,cls,knn,3,789,48.66548042704626,0.4793577189703691
vitl16-official,224,cls,knn,3,999,46.47093712930012,0.455215476310466
vitl16-official,224,cls,lp,3,42,42.94187425860024,0.40146729569561246
vitl16-official,224,cls,lp,3,123,43.68327402135231,0.40423748957148026
vitl16-official,224,cls,lp,3,456,42.23013048635824,0.4000151421334263
vitl16-official,224,cls,lp,3,789,42.408066429418746,0.3942969723107938
vitl16-official,224,cls,lp,3,999,41.429418742586,0.39234959350063603
vitl16-official,224,cls,labelprop,3,42,25.029655990510086,0.20698540519153083
vitl16-official,224,cls,labelprop,3,123,26.51245551601423,0.22517514632816316
vitl16-official,224,cls,labelprop,3,456,25.800711743772244,0.22094946172651303
vitl16-official,224,cls,labelprop,3,789,23.81376037959668,0.19377466013183092
vitl16-official,224,cls,labelprop,3,999,24.22894424673784,0.19499850394642473
vitl16-official,224,cls,ptmap,3,42,50.622775800711736,0.4891883138655896
vitl16-official,224,cls,ptmap,3,123,51.33451957295374,0.49573871884982523
vitl16-official,224,cls,ptmap,3,456,50.444839857651246,0.49132881511080084
vitl16-official,224,cls,ptmap,3,789,49.258600237247926,0.4782200310835323
vitl16-official,224,cls,ptmap,3,999,49.43653618030842,0.4774223640078202
vitl16-official,224,cls,proto,5,42,54.69750889679715,0.5310102259855984
vitl16-official,224,cls,proto,5,123,54.12811387900356,0.529510186551348
vitl16-official,224,cls,proto,5,456,54.83985765124555,0.5343390953565248
vitl16-official,224,cls,proto,5,789,54.34163701067616,0.5325611371710278
vitl16-official,224,cls,proto,5,999,53.879003558718864,0.524225837028103
vitl16-official,224,cls,knn,5,42,57.722419928825616,0.5608804094654395
vitl16-official,224,cls,knn,5,123,58.327402135231324,0.5744031675891919
vitl16-official,224,cls,knn,5,456,57.437722419928825,0.5646849042869063
vitl16-official,224,cls,knn,5,789,58.07829181494662,0.5692841756880703
vitl16-official,224,cls,knn,5,999,57.22419928825623,0.5584000258557978
vitl16-official,224,cls,lp,5,42,47.97153024911032,0.4411213313493373
vitl16-official,224,cls,lp,5,123,47.97153024911032,0.43983924577189015
vitl16-official,224,cls,lp,5,456,48.29181494661922,0.45109883537383494
vitl16-official,224,cls,lp,5,789,48.07829181494662,0.4387452499725865
vitl16-official,224,cls,lp,5,999,49.25266903914591,0.45488319494240576
vitl16-official,224,cls,labelprop,5,42,26.548042704626333,0.21605618303494686
vitl16-official,224,cls,labelprop,5,123,26.441281138790035,0.22807623419553585
vitl16-official,224,cls,labelprop,5,456,28.434163701067618,0.24064738236424948
vitl16-official,224,cls,labelprop,5,789,26.583629893238438,0.21539533393318083
vitl16-official,224,cls,labelprop,5,999,28.220640569395016,0.230215776755867
vitl16-official,224,cls,ptmap,5,42,55.62277580071174,0.5367149154351065
vitl16-official,224,cls,ptmap,5,123,55.37366548042705,0.5328704900117799
vitl16-official,224,cls,ptmap,5,456,55.088967971530245,0.5334918852987228
vitl16-official,224,cls,ptmap,5,789,55.40925266903914,0.5341020755743638
vitl16-official,224,cls,ptmap,5,999,56.08540925266904,0.5405709855858669
vitl16-official,224,cls,proto,10,42,60.14234875444839,0.584208614268771
vitl16-official,224,cls,proto,10,123,58.43416370106762,0.5680403163989538
vitl16-official,224,cls,proto,10,456,58.93238434163701,0.5686326193286628
vitl16-official,224,cls,proto,10,789,61.138790035587185,0.6004266101657109
vitl16-official,224,cls,proto,10,999,59.928825622775804,0.5854731067783193
vitl16-official,224,cls,knn,10,42,71.88612099644128,0.6975920382504012
vitl16-official,224,cls,knn,10,123,71.24555160142349,0.6929451645277477
vitl16-official,224,cls,knn,10,456,70.8185053380783,0.6909329006304095
vitl16-official,224,cls,knn,10,789,71.03202846975088,0.6942426656682466
vitl16-official,224,cls,knn,10,999,70.1779359430605,0.684800435533113
vitl16-official,224,cls,lp,10,42,55.37366548042705,0.505013620746904
vitl16-official,224,cls,lp,10,123,54.59074733096085,0.5020628487852251
vitl16-official,224,cls,lp,10,456,55.16014234875445,0.5102355570872478
vitl16-official,224,cls,lp,10,789,52.313167259786475,0.4786551866523761
vitl16-official,224,cls,lp,10,999,53.30960854092527,0.48154553007921713
vitl16-official,224,cls,labelprop,10,42,30.2491103202847,0.25255417695415294
vitl16-official,224,cls,labelprop,10,123,28.11387900355872,0.22996886909096087
vitl16-official,224,cls,labelprop,10,456,30.2491103202847,0.24471809250512605
vitl16-official,224,cls,labelprop,10,789,29.252669039145907,0.24028612322371729
vitl16-official,224,cls,labelprop,10,999,29.679715302491104,0.24266252788778397
vitl16-official,224,cls,ptmap,10,42,60.6405693950178,0.5829274962936256
vitl16-official,224,cls,ptmap,10,123,59.572953736654796,0.5704023159172834
vitl16-official,224,cls,ptmap,10,456,60.213523131672595,0.5752156421718908
vitl16-official,224,cls,ptmap,10,789,60.4270462633452,0.57739751351851
vitl16-official,224,cls,ptmap,10,999,61.70818505338078,0.5960632191059237
vitl16-official,224_fliptta,cls,proto,1,42,30.681240467717334,0.29816023518648166
