fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
100,large,1,23.4418 ± 0.1571,34.9059 ± 0.9551,40.9507 ± 0.8367,0.2227 ± 0.0040,23.4418 ± 0.1571,0.2227 ± 0.0040,23.2283 ± 0.2681,35.0585 ± 0.9304,40.8897 ± 0.6851,0.2211 ± 0.0057,14.9314 ± 0.4449,27.4631 ± 0.9622,34.1637 ± 0.7551,0.1287 ± 0.0046
100,large,3,34.4187 ± 0.7032,47.9834 ± 0.3075,54.3950 ± 0.3063,0.3189 ± 0.0052,39.2586 ± 0.4019,0.3784 ± 0.0035,30.4567 ± 0.6615,44.9941 ± 0.8344,52.7343 ± 0.4906,0.2665 ± 0.0046,25.3144 ± 0.5574,42.3903 ± 0.5410,51.0024 ± 0.5130,0.2218 ± 0.0059
100,large,5,37.9075 ± 0.8848,53.2883 ± 0.6890,60.5053 ± 0.4115,0.3483 ± 0.0076,48.1779 ± 0.4045,0.4664 ± 0.0048,34.5125 ± 0.3918,50.8754 ± 0.8405,58.7687 ± 0.1563,0.2967 ± 0.0034,31.7936 ± 1.1406,50.4057 ± 0.8539,59.3879 ± 0.7212,0.2817 ± 0.0140
100,large,10,43.5160 ± 1.1637,58.9609 ± 1.3139,66.6904 ± 1.2450,0.3973 ± 0.0085,63.0605 ± 0.7171,0.6089 ± 0.0050,42.8327 ± 0.9712,59.6157 ± 1.4249,67.1886 ± 1.3296,0.3676 ± 0.0072,40.2989 ± 0.5406,59.6584 ± 0.5453,67.7580 ± 0.5934,0.3651 ± 0.0057
