fraction,model_size,k_shot,seed,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
0,small,1,42,32.99440772750381,46.59379766141332,52.567361464158616,0.3165643312169468,32.99440772750381,0.3165643312169468,33.57905439755974,48.7290289781393,54.778851042196244,0.31925708767914185,12.709710218607015,24.07219115404169,29.969496695475346,0.11408486135758039
0,small,1,123,33.42653787493645,46.87341128622267,53.45704117946111,0.3281226879963304,33.42653787493645,0.3281226879963304,33.3248601931876,48.220640569395016,54.06710726995424,0.321225654179423,12.709710218607015,23.411286222674125,29.969496695475346,0.10515715099196046
0,small,1,456,33.73157092018302,47.61057447890188,54.117946110828676,0.3290247439956241,33.73157092018302,0.3290247439956241,34.74834773767158,48.16980172852059,55.66853075749872,0.3330023735018268,12.913065582104727,23.487544483985765,29.66446365022877,0.11404474805757027
0,small,1,789,34.82460599898322,48.347737671581086,54.62633451957295,0.3342010321303608,34.82460599898322,0.3342010321303608,34.0620233858668,48.98322318251144,55.89730554143365,0.31883800913935156,12.836807320793087,23.792577529232332,30.071174377224196,0.10794054324581184
0,small,1,999,33.3248601931876,47.305541433655314,53.76207422470768,0.3250662096405753,33.3248601931876,0.3250662096405753,34.21453990849009,47.89018810371123,55.13472292831724,0.3261789313167553,12.506354855109302,23.28418912048805,29.028978139298424,0.1110473412918012
0,small,3,42,52.22419928825622,67.25978647686833,73.51720047449585,0.5049199800336699,51.98695136417556,0.5113253750107039,46.8564650059312,63.79003558718861,69.95848161328588,0.43962688490486496,31.079478054567023,49.28825622775801,58.00711743772242,0.2854923096628377
0,small,3,123,52.313167259786475,67.43772241992883,72.86476868327402,0.5096954329645477,51.98695136417556,0.5099188908023706,46.35231316725979,63.40450771055753,69.60260972716489,0.4294733778222273,30.071174377224196,47.39027283511269,57.35468564650059,0.268158044640674
0,small,3,456,50.444839857651246,66.99288256227757,72.44958481613286,0.4909062122575612,51.27520759193357,0.5046576748691148,46.17437722419929,63.79003558718861,71.58956109134044,0.4313118785421232,29.626334519572957,48.368920521945434,57.35468564650059,0.259610507137974
0,small,3,789,51.42348754448398,66.72597864768683,72.80545670225386,0.4991018001313626,51.245551601423486,0.5034777750619398,47.47924080664294,63.4638196915777,69.9288256227758,0.44645656353982055,30.39739027283511,47.716488730723604,56.55397390272835,0.27353481972939303
0,small,3,999,51.0379596678529,66.6073546856465,72.71648873072361,0.49897753411216283,49.940688018979834,0.48387497616291975,45.96678529062871,62.54448398576512,69.18742586002372,0.4319584321979336,26.986951364175564,44.89916963226572,54.092526690391466,0.2368870838578282
0,small,5,42,59.1103202846975,73.87900355871886,78.8967971530249,0.5740734718792018,61.67259786476868,0.6023934877913502,52.77580071174377,69.32384341637011,76.12099644128114,0.49294093520892107,42.06405693950178,61.42348754448399,68.64768683274022,0.38173644006356494
0,small,5,123,58.362989323843415,73.98576512455516,78.57651245551601,0.5704878225183814,60.355871886120994,0.5974924537564102,52.206405693950174,69.8576512455516,75.65836298932385,0.4882972943455218,41.70818505338078,59.2170818505338,68.61209964412811,0.3790948744014517
0,small,5,456,58.00711743772242,73.55871886120995,78.86120996441281,0.5671111498714955,59.7508896797153,0.5897011255981637,52.135231316725985,69.32384341637011,75.94306049822063,0.48754864315062596,41.35231316725979,59.288256227758005,67.75800711743773,0.37294607981999744
0,small,5,789,58.75444839857651,73.34519572953737,79.8576512455516,0.574486732284948,61.60142348754448,0.6034714967487778,52.84697508896797,70.1423487544484,76.37010676156584,0.492306562139689,39.14590747330961,59.252669039145914,68.14946619217082,0.3506906082290803
0,small,5,999,56.97508896797153,72.38434163701068,79.1814946619217,0.5550721370898445,60.106761565836294,0.585352310661213,53.345195729537366,69.1459074733096,74.73309608540926,0.49670736358139034,39.25266903914591,58.256227758007114,67.65124555160142,0.34976833133497204
0,small,10,42,63.843416370106766,80.5693950177936,85.97864768683274,0.6253564758175667,76.08540925266904,0.7464762204975728,60.99644128113879,78.00711743772241,83.98576512455516,0.5687970662340605,55.017793594306056,72.88256227758008,79.57295373665481,0.4976758058432369
0,small,10,123,62.064056939501775,78.64768683274022,83.98576512455516,0.6048491038652227,73.52313167259787,0.7189736913936201,60.14234875444839,77.43772241992882,82.70462633451957,0.5636663377510418,53.167259786476876,72.17081850533808,79.00355871886121,0.4866098190751288
0,small,10,456,64.41281138790036,79.4306049822064,85.26690391459076,0.6294512022578526,74.23487544483986,0.7289789636084383,61.56583629893239,76.86832740213522,81.99288256227759,0.5731362970011978,53.167259786476876,70.6049822064057,77.79359430604981,0.4840447593482971
0,small,10,789,63.77224199288256,78.932384341637,83.91459074733096,0.6196243746484483,73.87900355871886,0.7256985437747423,56.93950177935944,74.51957295373666,81.28113879003558,0.5247688153383813,53.879003558718864,71.17437722419929,77.79359430604981,0.49851228250823904
0,small,10,999,63.55871886120996,80.0,85.69395017793595,0.6240134339412129,74.73309608540926,0.7381748456949805,57.793594306049826,75.94306049822063,82.06405693950178,0.5370476825733924,52.66903914590747,71.95729537366547,78.14946619217082,0.4743745736581713
0,smallplus,1,42,32.943568886629386,46.77173360447382,53.76207422470768,0.3149169062140124,32.943568886629386,0.3149169062140124,32.74021352313167,48.7290289781393,55.54143365531266,0.31321620997891314,13.116420945602442,22.724961870869347,29.00355871886121,0.11033001742343237
0,smallplus,1,123,33.45195729537366,46.79715302491103,53.380782918149464,0.3305561319686662,33.45195729537366,0.3305561319686662,34.31621759023894,48.85612608032537,55.058464667005595,0.3270976900751179,12.30299949161159,22.95373665480427,28.800203355363497,0.11118459876202728
0,smallplus,1,456,33.60447381799695,47.178444331469244,54.52465683782409,0.32514638631881554,33.60447381799695,0.32514638631881554,34.87544483985765,49.38993390950686,55.38891713268937,0.33045263942520364,12.608032536858161,22.57244534824606,27.935943060498218,0.10880537020060567
0,smallplus,1,789,33.45195729537366,46.69547534316217,54.245043213014746,0.3163810610775304,33.45195729537366,0.3163810610775304,32.86731062531774,48.60193187595323,55.31265887137773,0.30760427808636875,12.938485002541942,23.81799694966955,29.76614133197763,0.11622841680576194
0,smallplus,1,999,34.08744280630401,47.1021860701576,53.101169293340114,0.33201249561671425,34.08744280630401,0.33201249561671425,33.65531265887138,46.33960345704118,54.651753940010174,0.3194695626694835,13.802745297407219,23.614641586171835,31.011692933401118,0.12218999719472882
0,smallplus,3,42,51.482799525504156,67.1115065243179,72.50889679715303,0.49703392348859443,51.779359430604984,0.5080351641347385,46.886120996441285,63.19691577698695,70.52194543297746,0.43893635142751203,31.465005931198103,49.8220640569395,58.18505338078291,0.2828955096388113
0,smallplus,3,123,51.00830367734282,66.429418742586,73.0723606168446,0.49406984312057345,51.660735468564646,0.5051598877046751,47.034400948991696,64.08659549228945,69.9288256227758,0.43786261159000817,30.516014234875442,49.08066429418743,56.43534994068802,0.2727325624262602
0,smallplus,3,456,50.474495848161325,65.53973902728352,72.24199288256227,0.4919755920730765,50.77105575326216,0.4989598574493365,46.08540925266904,64.35349940688019,70.31435349940688,0.4268035436818811,31.13879003558719,47.92408066429419,57.29537366548043,0.2811323793232013
