tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
vitl16-official,224,cls,proto,1,30.040671072699542,0.21145535681835723,0.2927876576053462,0.0028045783604818773
vitl16-official,224,cls,knn,1,30.040671072699542,0.21145535681835723,0.2927876576053462,0.0028045783604818773
vitl16-official,224,cls,lp,1,30.94051855617692,0.9335193472688345,0.29411040970604463,0.008532659483254532
vitl16-official,224,cls,labelprop,1,20.46771733604474,0.6366029829180908,0.17723803650647985,0.007117562999666231
vitl16-official,224,cls,ptmap,1,33.1469242501271,0.6400446523647251,0.32375411402000903,0.004163572180622321
vitl16-official,224,cls,proto,3,48.41637010676156,0.4107113790572731,0.47003157590301703,0.006620600734315055
vitl16-official,224,cls,knn,3,48.113879003558715,1.1783545766127335,0.4715350770541694,0.012445434174841053
vitl16-official,224,cls,lp,3,42.53855278766311,0.8389553395975543,0.3984732986423898,0.0049877014511618975
vitl16-official,224,cls,labelprop,3,25.077105575326218,1.1069671997434198,0.20837663546489255,0.014442935432717569
vitl16-official,224,cls,ptmap,3,50.219454329774614,0.8650200514337922,0.4863796485835136,0.008166813193456714
vitl16-official,224,cls,proto,5,54.37722419928825,0.39628216105551706,0.5303292964185203,0.003855075331561915
vitl16-official,224,cls,knn,5,57.75800711743773,0.45155080215123,0.5655305365770812,0.0064419784795426704
vitl16-official,224,cls,lp,5,48.31316725978648,0.5412295454364365,0.44513757148201094,0.007341288344586357
vitl16-official,224,cls,labelprop,5,27.24555160142349,0.9918552319797775,0.22607818205675603,0.010582263560644517
vitl16-official,224,cls,ptmap,5,55.51601423487544,0.3706880187900302,0.535550070381168,0.003165415424656122
vitl16-official,224,cls,proto,10,59.7153024911032,1.0616678925392358,0.5813562533880836,0.013490441001250596
vitl16-official,224,cls,knn,10,71.03202846975088,0.622521554609815,0.6921026409219836,0.0047464073482242465
vitl16-official,224,cls,lp,10,54.14946619217081,1.3030938068436517,0.495502548670194,0.014397843081282303
vitl16-official,224,cls,labelprop,10,29.508896797153028,0.885541979501541,0.24203795793234822,0.008168474487008946
vitl16-official,224,cls,ptmap,10,60.512455516014235,0.7787010332588123,0.5804012374014467,0.009843409480432405
