tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
supcon,224,cls,proto,1,27.310625317742755,0.3095538572114058,0.2621557585566594,0.004012007393329174
supcon,224,cls,knn,1,27.310625317742755,0.3095538572114058,0.2621557585566594,0.004012007393329174
supcon,224,cls,lp,1,27.4224707676665,0.31870722966258186,0.2627636411985351,0.004943891610666916
supcon,224,cls,labelprop,1,25.282155566853074,0.8579948737958978,0.2373522876202207,0.003756780526341164
supcon,224,cls,ptmap,1,27.595322826639553,0.25266443598961247,0.27431908303750674,0.0028256074428018563
supcon,224,cls,proto,3,46.15065243179122,1.4687052577580326,0.4441183770120688,0.014605738083933579
supcon,224,cls,knn,3,45.52787663107948,0.9134333929588704,0.4420277022237177,0.008037638216742618
supcon,224,cls,lp,3,44.110320284697515,1.068150979537498,0.4175357233535043,0.011149284254709546
supcon,224,cls,labelprop,3,34.19335705812574,1.5058995444671488,0.319105104090095,0.013289577262855881
supcon,224,cls,ptmap,3,46.897983392645315,1.629676955506971,0.46584065498995936,0.015129750662996657
supcon,224,cls,proto,5,54.44128113879003,0.5340450244072318,0.5266049528361336,0.0024931768138335324
supcon,224,cls,knn,5,55.35943060498221,0.6783071251068157,0.5405495769477302,0.006824913805023809
supcon,224,cls,lp,5,51.957295373665474,0.3328876678624487,0.4885092700094568,0.0018163517114384792
supcon,224,cls,labelprop,5,36.69039145907473,0.9062513578823381,0.3420780529737383,0.010102602831133133
supcon,224,cls,ptmap,5,55.5373665480427,0.5209604639192954,0.5521237265641445,0.005603082285341498
supcon,224,cls,proto,10,63.0320284697509,0.7559241592798148,0.6111873919622097,0.009098504121701058
supcon,224,cls,knn,10,69.5658362989324,0.6554228858773743,0.6773169939403978,0.006876059062908819
supcon,224,cls,lp,10,61.62277580071175,1.3451769002052625,0.5796850921176362,0.014301542512906136
supcon,224,cls,labelprop,10,37.779359430604984,0.6980896703339058,0.34466374216584167,0.0083422272884767
supcon,224,cls,ptmap,10,65.36654804270464,1.339705227325547,0.6468528071375046,0.01210849295055243
