fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
100,large,1,22.5724 ± 0.5830,34.2501 ± 1.3122,40.2644 ± 0.7982,0.2138 ± 0.0068,22.5724 ± 0.5830,0.2138 ± 0.0068,22.5674 ± 0.6459,34.1688 ± 1.4330,40.0153 ± 0.9708,0.2133 ± 0.0067,14.5450 ± 0.6199,26.2888 ± 0.5306,33.1774 ± 0.6419,0.1279 ± 0.0097
100,large,3,35.1127 ± 0.2980,48.4104 ± 0.6944,55.3618 ± 0.6629,0.3278 ± 0.0040,38.0605 ± 0.6328,0.3641 ± 0.0059,32.0641 ± 0.7471,46.2752 ± 0.2802,53.9917 ± 0.6807,0.2898 ± 0.0053,25.2372 ± 0.9969,42.1471 ± 0.8368,50.7177 ± 0.6806,0.2209 ± 0.0098
100,large,5,40.7544 ± 1.0731,54.9537 ± 1.1002,61.5231 ± 1.0148,0.3791 ± 0.0100,47.6584 ± 0.4469,0.4596 ± 0.0028,37.5089 ± 1.0688,52.6762 ± 0.6683,60.2135 ± 0.5950,0.3328 ± 0.0098,31.1673 ± 0.3910,49.5018 ± 0.3808,57.8648 ± 0.5810,0.2772 ± 0.0018
100,large,10,46.4769 ± 1.1630,61.7794 ± 1.0946,68.1708 ± 1.1236,0.4299 ± 0.0114,62.4911 ± 0.7010,0.6030 ± 0.0046,45.8221 ± 1.5774,60.9964 ± 1.1175,68.1281 ± 1.1536,0.4021 ± 0.0172,39.3452 ± 1.3253,58.8185 ± 0.8798,67.4875 ± 1.0514,0.3536 ± 0.0092
