fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
0,small,5,58.2420 ± 0.8203,73.4306 ± 0.6379,79.0747 ± 0.4873,0.5682 ± 0.0079,60.6975 ± 0.8845,0.5957 ± 0.0079,52.6619 ± 0.4997,69.5587 ± 0.4215,75.7651 ± 0.6326,0.4916 ± 0.0037,26.4199 ± 0.5969,42.7758 ± 1.6998,50.9181 ± 1.7682,0.2192 ± 0.0033
0,small,10,63.5302 ± 0.8784,79.5160 ± 0.7819,84.9680 ± 0.9634,0.6207 ± 0.0095,74.4911 ± 0.9972,0.7317 ± 0.0108,59.4875 ± 2.0240,76.5552 ± 1.3696,82.4057 ± 1.0171,0.5535 ± 0.0213,39.2740 ± 0.4541,58.0214 ± 1.7459,66.8327 ± 1.4047,0.3399 ± 0.0063
