tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitb16-official,224,cls,lp,10,123,57.722419928825616,0.5360010282555813
vitb16-official,224,cls,lp,10,456,60.0,0.5588206996200892
vitb16-official,224,cls,lp,10,789,58.00711743772242,0.5359073056755481
vitb16-official,224,cls,lp,10,999,58.00711743772242,0.5347624663345756
vitb16-official,224,cls,labelprop,10,42,29.964412811387902,0.242713116741745
vitb16-official,224,cls,labelprop,10,123,31.17437722419929,0.26057337204068853
vitb16-official,224,cls,labelprop,10,456,31.601423487544483,0.266523123562065
vitb16-official,224,cls,labelprop,10,789,31.672597864768683,0.2644635632876652
vitb16-official,224,cls,labelprop,10,999,28.96797153024911,0.24383829164196685
vitb16-official,224,cls,ptmap,10,42,64.62633451957296,0.6247254228570954
vitb16-official,224,cls,ptmap,10,123,64.12811387900355,0.6186981987379727
vitb16-official,224,cls,ptmap,10,456,65.12455516014235,0.6256322457808746
vitb16-official,224,cls,ptmap,10,789,65.40925266903915,0.6327383569376451
vitb16-official,224,cls,ptmap,10,999,65.19572953736656,0.6330372172427856
vitb16-official,224_fliptta,cls,proto,1,42,33.223182511438736,0.32334854881998304
vitb16-official,224_fliptta,cls,proto,1,123,33.12150482968988,0.3259251742807815
vitb16-official,224_fliptta,cls,proto,1,456,33.40111845449924,0.325957093747207
vitb16-official,224_fliptta,cls,proto,1,789,33.502796136248094,0.3244526836298177
vitb16-official,224_fliptta,cls,proto,1,999,34.11286222674123,0.33388687821475566
vitb16-official,224_fliptta,cls,knn,1,42,33.223182511438736,0.32334854881998304
vitb16-official,224_fliptta,cls,knn,1,123,33.12150482968988,0.3259251742807815
vitb16-official,224_fliptta,cls,knn,1,456,33.40111845449924,0.325957093747207
vitb16-official,224_fliptta,cls,knn,1,789,33.502796136248094,0.3244526836298177
vitb16-official,224_fliptta,cls,knn,1,999,34.11286222674123,0.33388687821475566
vitb16-official,224_fliptta,cls,lp,1,42,33.19776309100153,0.31705297575872027
vitb16-official,224_fliptta,cls,lp,1,123,34.011184544992375,0.32784964853737864
vitb16-official,224_fliptta,cls,lp,1,456,35.56176919166243,0.3394206472889479
vitb16-official,224_fliptta,cls,lp,1,789,33.85866802236909,0.31707786210684435
vitb16-official,224_fliptta,cls,lp,1,999,34.494153533299446,0.3303677441486205
vitb16-official,224_fliptta,cls,labelprop,1,42,22.44534824605999,0.19308570210158502
vitb16-official,224_fliptta,cls,labelprop,1,123,25.724453482460603,0.22296449020140874
vitb16-official,224_fliptta,cls,labelprop,1,456,23.665480427046262,0.2100932958045937
vitb16-official,224_fliptta,cls,labelprop,1,789,23.868835790543976,0.20000896996016143
vitb16-official,224_fliptta,cls,labelprop,1,999,25.597356380274526,0.22171033424639408
vitb16-official,224_fliptta,cls,ptmap,1,42,35.79054397559736,0.35069752424658335
vitb16-official,224_fliptta,cls,ptmap,1,123,35.48551093035079,0.3511727589771984
vitb16-official,224_fliptta,cls,ptmap,1,456,37.036095577020845,0.3614501301801881
vitb16-official,224_fliptta,cls,ptmap,1,789,35.587188612099645,0.3454630816357636
vitb16-official,224_fliptta,cls,ptmap,1,999,37.51906456532791,0.36958239741638776
vitb16-official,224_fliptta,cls,proto,3,42,52.7876631079478,0.5121051944726016
vitb16-official,224_fliptta,cls,proto,3,123,52.22419928825622,0.5060001507626538
vitb16-official,224_fliptta,cls,proto,3,456,50.474495848161325,0.4920475314266811
vitb16-official,224_fliptta,cls,proto,3,789,51.36417556346382,0.499915154388005
vitb16-official,224_fliptta,cls,proto,3,999,50.77105575326216,0.49673141353085737
vitb16-official,224_fliptta,cls,knn,3,42,52.52075919335706,0.51772179630514
vitb16-official,224_fliptta,cls,knn,3,123,51.156583629893234,0.5030322083673125
vitb16-official,224_fliptta,cls,knn,3,456,51.542111506524314,0.5074329840126715
vitb16-official,224_fliptta,cls,knn,3,789,51.27520759193357,0.5032511665384086
vitb16-official,224_fliptta,cls,knn,3,999,50.88967971530249,0.5000829535912471
vitb16-official,224_fliptta,cls,lp,3,42,45.78884934756821,0.4316883123371388
vitb16-official,224_fliptta,cls,lp,3,123,46.58956109134046,0.43558689258196154
vitb16-official,224_fliptta,cls,lp,3,456,46.8564650059312,0.43839170603561534
vitb16-official,224_fliptta,cls,lp,3,789,46.97508896797153,0.43839172261089265
vitb16-official,224_fliptta,cls,lp,3,999,45.877817319098455,0.4297877240137405
vitb16-official,224_fliptta,cls,labelprop,3,42,26.868327402135233,0.21729593236340444
vitb16-official,224_fliptta,cls,labelprop,3,123,29.270462633451956,0.2451714859314359
vitb16-official,224_fliptta,cls,labelprop,3,456,27.60972716488731,0.23345143766828186
vitb16-official,224_fliptta,cls,labelprop,3,789,27.846975088967973,0.23401309026686662
vitb16-official,224_fliptta,cls,labelprop,3,999,27.461447212336893,0.23347598422542387
vitb16-official,224_fliptta,cls,ptmap,3,42,54.122182680901545,0.5252461805973815
vitb16-official,224_fliptta,cls,ptmap,3,123,54.03321470937129,0.5202705348967427
vitb16-official,224_fliptta,cls,ptmap,3,456,53.084223013048636,0.5168654452122258
vitb16-official,224_fliptta,cls,ptmap,3,789,53.736654804270465,0.5220768862559763
vitb16-official,224_fliptta,cls,ptmap,3,999,52.90628706998813,0.5140581606483403
vitb16-official,224_fliptta,cls,proto,5,42,59.60854092526691,0.5824482750877995
vitb16-official,224_fliptta,cls,proto,5,123,58.86120996441281,0.5752076266782128
vitb16-official,224_fliptta,cls,proto,5,456,58.00711743772242,0.5674508797028783
vitb16-official,224_fliptta,cls,proto,5,789,59.7508896797153,0.5874410168175881
vitb16-official,224_fliptta,cls,proto,5,999,57.61565836298932,0.562812734957056
vitb16-official,224_fliptta,cls,knn,5,42,60.462633451957295,0.5924443329955701
vitb16-official,224_fliptta,cls,knn,5,123,61.20996441281139,0.6036640229560571
vitb16-official,224_fliptta,cls,knn,5,456,60.4982206405694,0.5981379903052308
vitb16-official,224_fliptta,cls,knn,5,789,61.31672597864769,0.6043190253830552
vitb16-official,224_fliptta,cls,knn,5,999,60.92526690391459,0.5976901517364153
vitb16-official,224_fliptta,cls,lp,5,42,53.167259786476876,0.49367295607470496
vitb16-official,224_fliptta,cls,lp,5,123,53.02491103202846,0.50059967476118
vitb16-official,224_fliptta,cls,lp,5,456,51.281138790035584,0.48111899676625947
vitb16-official,224_fliptta,cls,lp,5,789,52.74021352313167,0.489523525438971
vitb16-official,224_fliptta,cls,lp,5,999,53.41637010676157,0.49717192224393003
vitb16-official,224_fliptta,cls,labelprop,5,42,29.21708185053381,0.24145977816031466
vitb16-official,224_fliptta,cls,labelprop,5,123,32.27758007117438,0.2750378385047463
vitb16-official,224_fliptta,cls,labelprop,5,456,29.857651245551605,0.2506541537555123
vitb16-official,224_fliptta,cls,labelprop,5,789,29.323843416370103,0.2442421162871387
vitb16-official,224_fliptta,cls,labelprop,5,999,27.473309608540923,0.23280971849935003
vitb16-official,224_fliptta,cls,ptmap,5,42,59.928825622775804,0.5802228504705417
vitb16-official,224_fliptta,cls,ptmap,5,123,60.355871886120994,0.5876910978650283
vitb16-official,224_fliptta,cls,ptmap,5,456,58.79003558718862,0.575003858695172
vitb16-official,224_fliptta,cls,ptmap,5,789,60.5338078291815,0.5878481866748877
vitb16-official,224_fliptta,cls,ptmap,5,999,59.395017793594306,0.5751689905601446
vitb16-official,224_fliptta,cls,proto,10,42,63.77224199288256,0.6247172268105908
vitb16-official,224_fliptta,cls,proto,10,123,63.629893238434164,0.6224443310742244
vitb16-official,224_fliptta,cls,proto,10,456,64.27046263345196,0.6255278502780118
vitb16-official,224_fliptta,cls,proto,10,789,64.34163701067615,0.6300898337584542
vitb16-official,224_fliptta,cls,proto,10,999,64.55516014234875,0.6329589999725407
vitb16-official,224_fliptta,cls,knn,10,42,73.16725978647686,0.7195438257925174
vitb16-official,224_fliptta,cls,knn,10,123,73.09608540925267,0.7165498894146581
vitb16-official,224_fliptta,cls,knn,10,456,74.02135231316726,0.7271760663219737
vitb16-official,224_fliptta,cls,knn,10,789,74.66192170818505,0.7320247664553715
vitb16-official,224_fliptta,cls,knn,10,999,74.23487544483986,0.7326127609045758
vitb16-official,224_fliptta,cls,lp,10,42,58.22064056939502,0.5389289993476171
vitb16-official,224_fliptta,cls,lp,10,123,58.93238434163701,0.5505961124704445
vitb16-official,224_fliptta,cls,lp,10,456,59.928825622775804,0.5605098268375155
vitb16-official,224_fliptta,cls,lp,10,789,57.36654804270462,0.5279855342411119
vitb16-official,224_fliptta,cls,lp,10,999,57.29537366548043,0.5251067450741327
vitb16-official,224_fliptta,cls,labelprop,10,42,30.81850533807829,0.25012272053104856
vitb16-official,224_fliptta,cls,labelprop,10,123,30.889679715302492,0.2566806150756045
vitb16-official,224_fliptta,cls,labelprop,10,456,31.24555160142349,0.25660751533236564
vitb16-official,224_fliptta,cls,labelprop,10,789,31.17437722419929,0.2586865190056099
vitb16-official,224_fliptta,cls,labelprop,10,999,28.04270462633452,0.23004286810163058
vitb16-official,224_fliptta,cls,ptmap,10,42,65.05338078291814,0.6281163379917829
vitb16-official,224_fliptta,cls,ptmap,10,123,63.20284697508897,0.6097491244131396
vitb16-official,224_fliptta,cls,ptmap,10,456,64.91103202846975,0.627105184924726
vitb16-official,224_fliptta,cls,ptmap,10,789,64.91103202846975,0.6263377685975551
vitb16-official,224_fliptta,cls,ptmap,10,999,65.76512455516014,0.6386865948463185
vitb16-official,448,cls,proto,1,42,32.13014743263854,0.30866185615798314
vitb16-official,448,cls,proto,1,123,32.35892221657346,0.3180009615753693
vitb16-official,448,cls,proto,1,456,32.35892221657346,0.316361506338947
vitb16-official,448,cls,proto,1,789,34.138281647178445,0.32816298649057013
