tag,res,feat,k_shot,clf,acc_diff,paired_t,p_ttest,p_wilcoxon
official,224,cls,1,ptmap,2.51652262328419,6.20448865719415,0.003432611302700376,0.0625
official,224,cls,1,lp,0.3304524656837827,0.9692320587809511,0.38731443421116707,0.4375
official,224,cls,1,labelprop,-8.332486019318756,-27.115923358347008,1.0998315477418068e-05,0.0625
official,224,cls,3,knn,-0.18979833926453155,-0.619116515058088,0.5693589479648169,0.4375
official,224,cls,3,ptmap,1.8030842230130475,5.088979870978511,0.007036463337169992,0.0625
official,224,cls,3,lp,-4.905100830367734,-13.470770613369332,0.00017570827128328927,0.0625
official,224,cls,3,labelprop,-22.06405693950178,-29.072704919285805,8.332815136183533e-06,0.0625
official,224,cls,5,knn,2.4697508896797116,9.327417785397701,0.0007354249611717854,0.0625
official,224,cls,5,ptmap,0.9822064056939539,5.971844049229324,0.003950025705805446,0.0625
official,224,cls,5,lp,-5.558718861209959,-11.345681595772007,0.00034408436261063085,0.0625
official,224,cls,5,labelprop,-26.875444839857646,-79.45512919818285,1.5038517338976536e-07,0.0625
official,224,cls,10,knn,10.946619217081853,24.8064516129032,1.5674807447415563e-05,0.0625
official,224,cls,10,ptmap,0.7544483985765126,1.914343156151549,0.128103294112221,0.1875
official,224,cls,10,lp,-4.028469750889677,-4.262028859326504,0.013032531267290298,0.0625
official,224,cls,10,labelprop,-29.864768683274026,-68.284083809442,2.755831197664293e-07,0.0625
official,224_fliptta,cls,1,ptmap,2.297915607524149,5.856563570806138,0.0042418264874055246,0.0625
official,224_fliptta,cls,1,lp,0.035587188612102236,0.1191068868377683,0.9109328716548024,0.625
official,224_fliptta,cls,1,labelprop,-9.532282663955261,-43.7706743677191,1.628953146770556e-06,0.0625
official,224_fliptta,cls,3,knn,0.2728351126927649,1.675776914771853,0.16909073483254622,0.3125
official,224_fliptta,cls,3,ptmap,1.933570581257412,8.89403357714075,0.0008831074300750838,0.0625
official,224_fliptta,cls,3,lp,-4.940688018979836,-18.021608581043846,5.573327256620197e-05,0.0625
official,224_fliptta,cls,3,labelprop,-22.508896797153028,-39.231224376381604,2.5219993143855097e-06,0.0625
official,224_fliptta,cls,5,knn,3.153024911032027,6.8222506895109465,0.0024135709650490453,0.0625
official,224_fliptta,cls,5,ptmap,1.0462633451957288,3.26949337671613,0.03080386354932707,0.0625
official,224_fliptta,cls,5,lp,-5.722419928825621,-9.071003016371154,0.0008187238906004617,0.0625
official,224_fliptta,cls,5,labelprop,-27.288256227758012,-54.52991733252978,6.770781896014692e-07,0.0625
official,224_fliptta,cls,10,knn,11.117437722419933,32.05831354836511,5.6438653082549995e-06,0.0625
official,224_fliptta,cls,10,ptmap,0.6263345195729514,1.8061021717388757,0.14520394688510618,0.1875
official,224_fliptta,cls,10,lp,-4.412811387900352,-5.90878285306904,0.004106481175406902,0.0625
official,224_fliptta,cls,10,labelprop,-30.476868327402126,-57.71749185714053,5.395762578767889e-07,0.0625
official,336,cls,1,ptmap,3.0096593797661413,11.830539351265962,0.0002922300119400774,0.0625
official,336,cls,1,lp,0.5033045246568364,1.3517956734787304,0.2478247067273425,0.1875
official,336,cls,1,labelprop,-8.713777325876972,-23.68139836293808,1.8852837389036467e-05,0.0625
official,336,cls,3,knn,0.2728351126927677,0.6272306109287583,0.5645317080939816,0.625
official,336,cls,3,ptmap,1.7200474495848184,4.482809325681654,0.010966164169648226,0.0625
official,336,cls,3,lp,-4.792408066429415,-9.694565310493239,0.0006336407480175004,0.0625
official,336,cls,3,labelprop,-21.897983392645315,-19.89826710536977,3.7636822170695095e-05,0.0625
official,336,cls,5,knn,3.5516014234875497,6.86498653494069,0.0023579021837619387,0.0625
official,336,cls,5,ptmap,1.0320284697508952,3.248395028854724,0.031423374862940626,0.125
official,336,cls,5,lp,-5.473309608540918,-9.59303390010965,0.000659937681519219,0.0625
official,336,cls,5,labelprop,-26.41992882562277,-29.205720741936197,8.182627605779916e-06,0.0625
official,336,cls,10,knn,11.288256227758009,37.32022986306656,3.0782090118500905e-06,0.0625
official,336,cls,10,ptmap,0.9252669039145985,10.277402395547417,0.0005054662120782385,0.0625
official,336,cls,10,lp,-3.5444839857651247,-5.259911279353156,0.006254872987911914,0.0625
official,336,cls,10,labelprop,-30.220640569395016,-57.536199465989185,5.464022368209064e-07,0.0625
official,448,cls,1,ptmap,2.9689883070665957,6.141077464181338,0.0035649339540622326,0.0625
official,448,cls,1,lp,0.3965429588205353,0.6519497096560671,0.5499981945031798,0.625
official,448,cls,1,labelprop,-9.537366548042707,-33.18405455706187,4.918229124650384e-06,0.0625
official,448,cls,3,knn,0.2431791221826785,1.0368953191051717,0.35835160212757544,0.4375
official,448,cls,3,ptmap,2.2419928825622777,4.675404247793707,0.009480081744739018,0.0625
official,448,cls,3,lp,-4.721233689205219,-9.802911062106753,0.0006069978829055811,0.0625
official,448,cls,3,labelprop,-21.88612099644128,-24.475222483526576,1.65358604630569e-05,0.0625
official,448,cls,5,knn,2.9750889679715327,4.355230085089348,0.01210731226055594,0.0625
official,448,cls,5,ptmap,1.0462633451957317,3.744083883388765,0.020049795144146013,0.0625
official,448,cls,5,lp,-6.156583629893238,-13.335338530146403,0.0001828213295571213,0.0625
official,448,cls,5,labelprop,-27.530249110320284,-58.703847029898085,5.042493074245066e-07,0.0625
official,448,cls,10,knn,11.14590747330961,40.76135185292636,2.1647928698326167e-06,0.0625
official,448,cls,10,ptmap,0.38434163701068086,1.217873002013596,0.290197810317782,0.3125
official,448,cls,10,lp,-4.839857651245549,-10.298303057861553,0.0005014991143460233,0.0625
official,448,cls,10,labelprop,-31.81494661921708,-75.23504246513629,1.8705065504663493e-07,0.0625
official,448_fliptta,cls,1,ptmap,3.3299440772750346,9.587362240445074,0.0006614462372406903,0.0625
official,448_fliptta,cls,1,lp,0.43721403152008237,0.9817517916658874,0.3818070318373491,0.625
official,448_fliptta,cls,1,labelprop,-9.761057447890186,-17.06582393073715,6.914580790321811e-05,0.0625
official,448_fliptta,cls,3,knn,0.33807829181494353,1.1043525680662736,0.3314015006817452,0.4652088184521418
official,448_fliptta,cls,3,ptmap,1.9632265717674968,6.0196744845231835,0.0038362171953553433,0.0625
official,448_fliptta,cls,3,lp,-4.999999999999996,-12.974605979822062,0.00020359556410227625,0.0625
official,448_fliptta,cls,3,labelprop,-22.408066429418742,-20.461567395660794,3.369083314441318e-05,0.0625
official,448_fliptta,cls,5,knn,3.2669039145907464,5.821798671230362,0.0043349732698843785,0.0625
official,448_fliptta,cls,5,ptmap,1.017793594306046,3.7027501535069707,0.02078535410545715,0.0625
official,448_fliptta,cls,5,lp,-5.97864768683274,-15.472210991875007,0.00010184577382934259,0.0625
official,448_fliptta,cls,5,labelprop,-27.508896797153028,-41.94031813835064,1.931880061107346e-06,0.0625
official,448_fliptta,cls,10,knn,11.14590747330961,129.6030821551291,2.1257763959210267e-08,0.0625
official,448_fliptta,cls,10,ptmap,0.3416370106761633,0.9497969943425107,0.39599882163352174,0.625
official,448_fliptta,cls,10,lp,-5.024911032028466,-9.880167238522995,0.0005888459910446858,0.0625
official,448_fliptta,cls,10,labelprop,-31.971530249110316,-56.71102416105921,5.788707231072753e-07,0.0625
splus-official,224,cls,1,ptmap,2.943568886629386,16.974436655899236,7.062972062027815e-05,0.0625
splus-official,224,cls,1,lp,0.20335536349771388,0.5430753866417092,0.6159243114498463,0.8125
splus-official,224,cls,1,labelprop,-9.674631418403658,-12.418692401338099,0.00024171514789234346,0.0625
splus-official,224,cls,3,knn,0.23131672597864253,2.229481606852607,0.08966251702034596,0.125
splus-official,224,cls,3,ptmap,2.562277580071175,11.378274934218727,0.0003402566124104121,0.0625
splus-official,224,cls,3,lp,-4.306049822064059,-18.70786101469159,4.80647876160603e-05,0.0625
splus-official,224,cls,3,labelprop,-22.06405693950178,-39.40978702215108,2.4766978566381997e-06,0.0625
splus-official,224,cls,5,knn,2.419928825622783,5.043267140886502,0.0072653642443972705,0.0625
splus-official,224,cls,5,ptmap,0.7117437722420007,1.9851666679418767,0.1181015096036776,0.06788915486182899
splus-official,224,cls,5,lp,-6.192170818505332,-11.350508471129862,0.000343514130327359,0.0625
splus-official,224,cls,5,labelprop,-28.291814946619212,-107.29536374870612,4.524556027946345e-08,0.0625
splus-official,224,cls,10,knn,9.907473309608541,18.13151816966111,5.4407476039609576e-05,0.0625
splus-official,224,cls,10,ptmap,0.8113879003558708,3.282700017209191,0.030423416648821016,0.0625
splus-official,224,cls,10,lp,-4.256227758007114,-10.01687689208348,0.0005583463229208979,0.0625
splus-official,224,cls,10,labelprop,-32.59786476868327,-39.69871507949832,2.405528733199755e-06,0.0625
splus-official,224_fliptta,cls,1,ptmap,2.7859684799186555,7.7720723827043345,0.0014775107699843758,0.0625
splus-official,224_fliptta,cls,1,lp,0.23385866802236704,0.5002364625339054,0.6431775680662871,1.0
splus-official,224_fliptta,cls,1,labelprop,-10.498220640569397,-25.647721741779904,1.3726739889857124e-05,0.0625
splus-official,224_fliptta,cls,3,knn,0.19572953736655735,3.4979930040210725,0.02494146300092432,0.06788915486182899
splus-official,224_fliptta,cls,3,ptmap,2.1886120996441307,11.058118904837102,0.0003802877929622086,0.0625
splus-official,224_fliptta,cls,3,lp,-4.495848161328581,-26.208141988993173,1.2595134596693285e-05,0.0625
splus-official,224_fliptta,cls,3,labelprop,-23.096085409252666,-56.55369294409387,5.853325275091904e-07,0.0625
splus-official,224_fliptta,cls,5,knn,2.4483985765124516,4.664647991481757,0.009556366960287544,0.0625
splus-official,224_fliptta,cls,5,ptmap,0.5480427046263359,1.2857463721297784,0.2679173137801012,0.3125
splus-official,224_fliptta,cls,5,lp,-6.362989323843415,-11.559807913780912,0.0003198798940064505,0.0625
splus-official,224_fliptta,cls,5,labelprop,-28.740213523131672,-46.47523580059485,1.2821108725541817e-06,0.0625
splus-official,224_fliptta,cls,10,knn,10.049822064056935,16.192490190167,8.510089858861775e-05,0.0625
splus-official,224_fliptta,cls,10,ptmap,0.5836298932384267,2.6140645235596556,0.05916683414551332,0.06788915486182899
splus-official,224_fliptta,cls,10,lp,-4.967971530249112,-13.54892888760979,0.00017175994467082188,0.0625
splus-official,224_fliptta,cls,10,labelprop,-32.76868327402135,-51.519384042622576,8.495297116994242e-07,0.0625
splus-official,448,cls,1,ptmap,3.1570920183019857,6.845911230600508,0.002382552406376173,0.0625
splus-official,448,cls,1,lp,0.4982206405693965,0.9794369855534515,0.38282019433543146,0.4375
splus-official,448,cls,1,labelprop,-9.456024402643619,-31.41730535240537,6.117132783309095e-06,0.0625
splus-official,448,cls,3,knn,0.11269276393831547,0.40591248750506864,0.7055827911756828,1.0
splus-official,448,cls,3,ptmap,2.1648873072360644,6.6091094611039,0.0027166958511778,0.0625
splus-official,448,cls,3,lp,-4.816132858837486,-10.6561129224513,0.0004392171909383878,0.0625
splus-official,448,cls,3,labelprop,-22.841043890865954,-55.988269523573855,6.093123829134506e-07,0.0625
splus-official,448,cls,5,knn,3.010676156583628,7.367392834155025,0.0018086390198357835,0.0625
splus-official,448,cls,5,ptmap,1.202846975088964,3.6084266799572404,0.022588172930351504,0.125
splus-official,448,cls,5,lp,-5.58718861209964,-15.072482327151798,0.00011292078729962985,0.0625
splus-official,448,cls,5,labelprop,-26.932384341637015,-52.1447632919839,8.095513288754767e-07,0.0625
splus-official,448,cls,10,knn,10.263345195729535,20.870077079446784,3.114847722940213e-05,0.0625
splus-official,448,cls,10,ptmap,0.9395017793594264,6.127946159842717,0.0035931143301444544,0.0625
splus-official,448,cls,10,lp,-4.925266903914597,-5.697065398501717,0.0046905063123874645,0.0625
splus-official,448,cls,10,labelprop,-31.64412811387901,-93.19300795181553,7.948490070205031e-08,0.0625
splus-official,448_fliptta,cls,1,ptmap,2.974072191154042,11.232359441253267,0.00035781662058642676,0.0625
splus-official,448_fliptta,cls,1,lp,0.4575495678698516,1.164810679723528,0.3088263836897399,0.3125
splus-official,448_fliptta,cls,1,labelprop,-9.56786985256736,-38.6666982042831,2.6721994330463195e-06,0.0625
splus-official,448_fliptta,cls,3,knn,0.46263345195729644,1.51764185408623,0.20370995826098498,0.3125
splus-official,448_fliptta,cls,3,ptmap,2.0996441281138813,5.4056827585462495,0.005670716979043482,0.0625
splus-official,448_fliptta,cls,3,lp,-4.543297746144721,-9.159704855310093,0.0007886441852344222,0.0625
splus-official,448_fliptta,cls,3,labelprop,-23.072360616844602,-37.854511159854034,2.9084585855933735e-06,0.0625
splus-official,448_fliptta,cls,5,knn,3.4021352313167315,10.671078496202535,0.0004368279979243847,0.0625
splus-official,448_fliptta,cls,5,ptmap,1.2028469750889728,3.172066295001395,0.03379084503781638,0.125
splus-official,448_fliptta,cls,5,lp,-6.007117437722416,-14.4617258642797,0.00013290837138297786,0.0625
splus-official,448_fliptta,cls,5,labelprop,-27.679715302491104,-32.62312975099945,5.264209776399919e-06,0.0625
splus-official,448_fliptta,cls,10,knn,10.903914590747332,27.99837766079695,9.681337791096392e-06,0.0625
splus-official,448_fliptta,cls,10,ptmap,1.2669039145907504,14.343648759651417,0.00013726807946030017,0.0625
splus-official,448_fliptta,cls,10,lp,-4.81138790035587,-6.349167394667165,0.0031526093344970427,0.0625
splus-official,448_fliptta,cls,10,labelprop,-32.48398576512456,-52.679464998301846,7.772187062164878e-07,0.0625
splus-tapt-gram,224,cls,1,ptmap,0.17793594306049912,1.2998673672393686,0.26349281706900596,0.27332167829229814
splus-tapt-gram,224,cls,1,lp,0.055922724961870784,0.4061557687892557,0.7054178542277245,1.0
splus-tapt-gram,224,cls,1,labelprop,-6.263345195729538,-22.812859063680587,2.187204811520258e-05,0.0625
splus-tapt-gram,224,cls,3,knn,1.4116251482799513,9.067077881337497,0.0008200875305451481,0.0625
splus-tapt-gram,224,cls,3,ptmap,1.1150652431791201,3.563060804820826,0.023521431088643786,0.0625
splus-tapt-gram,224,cls,3,lp,-2.2538552787663106,-6.92628485747663,0.0022807890178627357,0.0625
splus-tapt-gram,224,cls,3,labelprop,-19.57888493475682,-39.75810115780051,2.3912186164045762e-06,0.0625
